model,dataset,recall@1,recall@5,recall@10,flops,sparsity,memory
TAT-VPR-SALAD,Pitts30k,90.40492957746478,95.55457746478874,96.875,30534895956.6,0.2,32.46039009094238
TAT-VPR-SALAD,MSLS,82.70479971129556,90.35546734031035,92.42150848069288,30534895956.6,0.2,32.46039009094238
TAT-VPR-SALAD,Tokyo247,84.12698412698413,92.38095238095238,94.92063492063492,30534895956.6,0.2,32.46039009094238
TAT-VPR-SALAD,Eynsham,89.25005222477543,93.6452893252559,94.73574263630668,30534895956.6,0.2,32.46039009094238
TAT-VPR-SALAD,Pitts30k,90.0674882629108,95.53990610328638,96.80164319248826,28001850913.4,0.3,32.46039009094238
TAT-VPR-SALAD,MSLS,82.56044749188018,90.26524720317576,92.41248646697944,28001850913.4,0.3,32.46039009094238
TAT-VPR-SALAD,Tokyo247,84.44444444444444,93.33333333333331,95.55555555555556,28001850913.4,0.3,32.46039009094238
TAT-VPR-SALAD,Eynsham,89.07457697931899,93.57844161270108,94.79005640275749,28001850913.4,0.3,32.46039009094238
TAT-VPR-SALAD,Pitts30k,90.0674882629108,95.4225352112676,96.68427230046947,25468805870.2,0.4,32.46039009094238
TAT-VPR-SALAD,MSLS,82.21761097076867,90.08480692890652,92.19595813785637,25468805870.2,0.4,32.46039009094238
TAT-VPR-SALAD,Tokyo247,84.44444444444444,92.6984126984127,95.23809523809524,25468805870.2,0.4,32.46039009094238
TAT-VPR-SALAD,Eynsham,88.99937330269479,93.4990599540422,94.79423438479216,25468805870.2,0.4,32.46039009094238
TAT-VPR-SALAD,Pitts30k,89.74471830985915,95.1731220657277,96.5962441314554,22935760827.0,0.5,32.46039009094238
TAT-VPR-SALAD,MSLS,81.51389390111873,89.57055214723927,91.83507758931792,22935760827.0,0.5,32.46039009094238
TAT-VPR-SALAD,Tokyo247,83.80952380952381,92.06349206349206,94.28571428571428,22935760827.0,0.5,32.46039009094238
TAT-VPR-SALAD,Eynsham,88.76958429078755,93.51159390014622,94.68142886985584,22935760827.0,0.5,32.46039009094238
TAT-VPR-SALAD,Pitts30k,89.1725352112676,94.74765258215965,96.2588028169014,20402715783.800003,0.6,32.46039009094238
TAT-VPR-SALAD,MSLS,79.70949115842656,88.09094189823169,90.70732587513533,20402715783.800003,0.6,32.46039009094238
TAT-VPR-SALAD,Tokyo247,74.28571428571429,89.52380952380953,93.015873015873,20402715783.800003,0.6,32.46039009094238
TAT-VPR-SALAD,Eynsham,87.85042824315855,93.05201587633172,94.40150407353248,20402715783.800003,0.6,32.46039009094238
TAT-VPR-SALAD,SVOX-night,41.55528554070474,63.54799513973269,70.59538274605103,25468805870.2,0.4,32.46039009094238
TAT-VPR-SALAD,SVOX-sun,88.05620608899297,96.25292740046838,97.65807962529274,25468805870.2,0.4,32.46039009094238
TAT-VPR-SALAD,SVOX-snow,95.28735632183908,98.39080459770116,98.73563218390804,25468805870.2,0.4,32.46039009094238
TAT-VPR-SALAD,SVOX-overcast,96.67431192660553,98.85321100917432,99.08256880733946,25468805870.2,0.4,32.46039009094238
TAT-VPR-SALAD,SVOX-rain,92.52934898612594,97.65208110992528,98.39914621131273,25468805870.2,0.4,32.46039009094238
TAT-VPR-SALAD,SVOX-night,42.40583232077764,63.79100850546781,71.93195625759417,28001850913.4,0.3,32.46039009094238
TAT-VPR-SALAD,SVOX-sun,88.52459016393442,96.4871194379391,97.30679156908664,28001850913.4,0.3,32.46039009094238
TAT-VPR-SALAD,SVOX-snow,95.63218390804596,98.39080459770116,98.73563218390804,28001850913.4,0.3,32.46039009094238
TAT-VPR-SALAD,SVOX-overcast,97.0183486238532,98.73853211009175,99.08256880733946,28001850913.4,0.3,32.46039009094238
TAT-VPR-SALAD,SVOX-rain,92.8495197438634,97.75880469583778,98.71931696905015,28001850913.4,0.3,32.46039009094238
TAT-VPR-SALAD,SVOX-night,38.27460510328068,59.05224787363304,66.58566221142162,22935760827.0,0.5,32.46039009094238
TAT-VPR-SALAD,SVOX-sun,85.12880562060889,94.73067915690866,96.95550351288055,22935760827.0,0.5,32.46039009094238
